"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 04 03:38:16 UTC 2024","Thu Apr 04 03:38:24 UTC 2024","8254","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Apr 04 03:38:02 UTC 2024","Thu Apr 04 03:38:16 UTC 2024","14145","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Apr 04 06:09:31 UTC 2024","Thu Apr 04 06:09:41 UTC 2024","10196","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Thu Apr 04 03:21:55 UTC 2024","Thu Apr 04 03:22:00 UTC 2024","4757","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Apr 04 03:50:58 UTC 2024","Thu Apr 04 03:51:01 UTC 2024","3624","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Apr 04 04:19:33 UTC 2024","Thu Apr 04 04:19:34 UTC 2024","834","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Thu Apr 04 03:51:01 UTC 2024","Thu Apr 04 03:51:02 UTC 2024","377","","6. Company Account","","","","9. Review Final Review",""
"failed","Thu Apr 04 06:34:18 UTC 2024","Thu Apr 04 06:36:49 UTC 2024","151163","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Thu Apr 04 03:41:45 UTC 2024","Thu Apr 04 03:42:46 UTC 2024","60206","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Thu Apr 04 04:16:54 UTC 2024","Thu Apr 04 04:16:56 UTC 2024","2176","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Thu Apr 04 06:30:16 UTC 2024","Thu Apr 04 06:30:39 UTC 2024","22736","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Thu Apr 04 03:41:42 UTC 2024","Thu Apr 04 03:41:45 UTC 2024","3324","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Apr 04 04:38:51 UTC 2024","Thu Apr 04 04:38:51 UTC 2024","222","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Thu Apr 04 04:16:56 UTC 2024","Thu Apr 04 04:16:57 UTC 2024","1226","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Apr 04 03:50:07 UTC 2024","Thu Apr 04 03:50:15 UTC 2024","8701","","6. Company Account","","","","2. Create a Company Account",""
"passed","Thu Apr 04 03:52:56 UTC 2024","Thu Apr 04 03:54:06 UTC 2024","69842","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Apr 04 03:46:57 UTC 2024","Thu Apr 04 03:47:01 UTC 2024","4924","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Apr 04 02:33:40 UTC 2024","Thu Apr 04 02:33:49 UTC 2024","9341","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"failed","Thu Apr 04 05:04:51 UTC 2024","Thu Apr 04 05:07:22 UTC 2024","150338","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Apr 04 06:06:54 UTC 2024","Thu Apr 04 06:07:04 UTC 2024","9610","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Apr 04 02:32:37 UTC 2024","Thu Apr 04 02:32:54 UTC 2024","16871","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Apr 04 03:42:53 UTC 2024","Thu Apr 04 03:42:56 UTC 2024","3250","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Apr 04 04:13:44 UTC 2024","Thu Apr 04 04:13:56 UTC 2024","12577","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Thu Apr 04 03:47:12 UTC 2024","Thu Apr 04 03:47:15 UTC 2024","3288","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Thu Apr 04 05:59:11 UTC 2024","Thu Apr 04 05:59:26 UTC 2024","15265","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Thu Apr 04 02:32:54 UTC 2024","Thu Apr 04 02:33:06 UTC 2024","11949","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Apr 04 03:42:46 UTC 2024","Thu Apr 04 03:42:48 UTC 2024","2633","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Thu Apr 04 06:33:29 UTC 2024","Thu Apr 04 06:33:36 UTC 2024","6588","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Thu Apr 04 04:41:09 UTC 2024","Thu Apr 04 04:41:10 UTC 2024","1583","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Apr 04 02:34:05 UTC 2024","Thu Apr 04 02:34:17 UTC 2024","11580","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Thu Apr 04 03:47:27 UTC 2024","Thu Apr 04 03:47:28 UTC 2024","1739","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Apr 04 03:06:14 UTC 2024","Thu Apr 04 03:06:14 UTC 2024","596","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Apr 04 03:03:10 UTC 2024","Thu Apr 04 03:03:17 UTC 2024","6498","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
